,en_name,cn_name,link
69,Freedom Island/Ziyoudenglu,自由登陸,https://www.yaogun.com/artist/shijiazhuang/ziyoudenglu.htm
70,Fuck/Donglisanlunche,動力三輪車,https://www.yaogun.com/artist/shijiazhuang/dongli3lunche.htm
71,Fuhuo,復活,https://www.yaogun.com/artist/shijiazhuang/fuhuo.htm
72,Gaiside,該死的,https://www.yaogun.com/artist/shijiazhuang/gaiside.htm
73,Goulou,佝［ｲ婁］,https://www.yaogun.com/artist/shijiazhuang/goulou.htm
74,Guanbi de fangjian,關閉的房間,https://www.yaogun.com/artist/shijiazhuang/guanbidefangjian.htm
75,Gum Bleed/Yakenchuxue,牙[齒艮]出血,https://www.yaogun.com/artist/shijiazhuang/yakenchuxue.htm
76,Heibailalian,黒白拉鏈,https://www.yaogun.com/artist/shijiazhuang/heibailalian.htm
77,Heigongjue,黒公爵,https://www.yaogun.com/artist/shijiazhuang/heigongjue.htm
78,Heihuo,黒火,https://www.yaogun.com/artist/shijiazhuang/heihuo.htm
79,"Herbal Heaven/Shicaotang
        & Xiangduilun",食草堂&相對論,https://www.yaogun.com/artist/shijiazhuang/sctxdl.htm
80,Hongweibing,紅衛兵,https://www.yaogun.com/artist/shijiazhuang/hongweibing.htm
81,Houwan,後晩,https://www.yaogun.com/artist/shijiazhuang/houwan.htm
82,Huaiguantou,壊罐頭,https://www.yaogun.com/artist/shijiazhuang/huaiguantou.htm
83,Huan,幻,https://www.yaogun.com/artist/shijiazhuang/huan.htm
84,Huandao,環島,https://www.yaogun.com/artist/shijiazhuang/huandao.htm
85,Huanximama,歡喜媽媽,https://www.yaogun.com/artist/shijiazhuang/huanximama.htm
86,Icewater,Icewater,https://www.yaogun.com/artist/shijiazhuang/icewater.htm
87,Jasana,JASANA,https://www.yaogun.com/artist/shijiazhuang/jasana.htm
88,Jiawan,甲［火完］,https://www.yaogun.com/artist/shijiazhuang/jiawan.htm
89,Jiechi,界尺,https://www.yaogun.com/artist/shijiazhuang/jiechi.htm
90,Jijing zhi meng,寂靜之夢,https://www.yaogun.com/artist/shijiazhuang/jijingzhimeng.htm
91,Jingxia tuteng,鏡下圖騰,https://www.yaogun.com/artist/shijiazhuang/jingxiatuteng.htm
92,Jiqi zhuchong,機器[虫主]蟲,https://www.yaogun.com/artist/shijiazhuang/jiqizhuchong.htm
93,Jiujing,酒晶,https://www.yaogun.com/artist/shijiazhuang/jiujing.htm
94,90's,90'S,https://www.yaogun.com/artist/shijiazhuang/90s.htm
95,Jixiehuatan,機械化C60,https://www.yaogun.com/artist/shijiazhuang/jixiehuatan.htm
96,Jizhongying,集中營,https://www.yaogun.com/artist/shijiazhuang/jizhongying.htm
97,Keshiyongshiti,可食用屍體,https://www.yaogun.com/artist/shijiazhuang/keshiyongde.htm
98,Kongjian,空間,https://www.yaogun.com/artist/shijiazhuang/kongjian.htm
99,Kongxue zhi guang,孔穴之光,https://www.yaogun.com/artist/shijiazhuang/kongxuezhiguang.htm
100,Kouxiangtang,口香糖,https://www.yaogun.com/artist/shijiazhuang/kouxiangtang.htm
101,Lai,籟,https://www.yaogun.com/artist/shijiazhuang/lai.htm
102,Lanyan,藍焔,https://www.yaogun.com/artist/shijiazhuang/lanyan.htm
103,Late Spring/,遅到的春天,https://www.yaogun.com/artist/shijiazhuang/cddct.htm
104,Leftear/Zuoer,左耳,https://www.yaogun.com/artist/shijiazhuang/leftear.htm
105,LEI,LEI,https://www.yaogun.com/artist/shijiazhuang/lei.htm
106,Liebianti,裂變體,https://www.yaogun.com/artist/shijiazhuang/liebianti.htm
107,Lieyan,裂焔,https://www.yaogun.com/artist/shijiazhuang/lieyan.htm
108,Ligui,暦鬼,https://www.yaogun.com/artist/shijiazhuang/ligui.htm
109,Lilo,LILO,https://www.yaogun.com/artist/shijiazhuang/lilo.htm
110,Luanle,亂了,https://www.yaogun.com/artist/shijiazhuang/luanle.htm
111,Lucia/Luxiya,露西亞,https://www.yaogun.com/artist/shijiazhuang/lucia.htm
112,Lyric/Cizuozhe,LYRIC,https://www.yaogun.com/artist/shijiazhuang/lyric.htm
113,Magelite,瑪格麗特,https://www.yaogun.com/artist/shijiazhuang/magelite.htm
114,Mars,MARS,https://www.yaogun.com/artist/shijiazhuang/mars.htm
115,Maxituan,麻喜團,https://www.yaogun.com/artist/shijiazhuang/maxituan.htm
116,Mianjuzhizaozhe,面具制造者,https://www.yaogun.com/artist/shijiazhuang/mianjuzhizaozhe.htm
117,Migong,迷宮,https://www.yaogun.com/artist/shijiazhuang/migong.htm
118,Milky Subway/Niunai ditie,牛［女乃］地鐵,https://www.yaogun.com/artist/shijiazhuang/niunaiditie.htm
