,en_name,cn_name,link
113,Baby #13,Baby #13,shanghai/baby13.htm
114,Back to Future,回到未来,shanghai/backtofuture.htm
115,Bad Himo,BAD HIMO,shanghai/badhimo.htm
116,Bailing,百靈,shanghai/bailing.htm
117,8mg,8mg,shanghai/8mg.htm
118,8mg,8mg,shanghai/8mg_2.htm
119,Bakehouse,IMPRESS,shanghai/impress.htm
120,80'S,80'S,shanghai/80s.htm
121,Banana Monkey/Xiangpihouzi,香蕉猴子,shanghai/xiangjiaohouzi.htm
122,Bangbangtang,棒棒糖,shanghai/bangbangtang.htm
123,Banmawen,斑馬紋,shanghai/banmawen.htm
124,Banso,BANSO,shanghai/banso.htm
125,Baohetang,薄荷糖,shanghai/baohetang.htm
126,Baoxiansi,保險絲,shanghai/baoxiansi.htm
127,Baozouwoniu,暴走蝸牛,shanghai/baozouwoniu.htm
128,Bastard,BASTARD,shanghai/bastard.htm
129,Bayinhe,八音盒,shanghai/8yinhe.htm
130,Beat Bandit,Beat Bandit,shanghai/beatbandit.htm
131,Beat generation 1980s,Beat generation 1980s,shanghai/bg1980s.htm
132,Be Five,Be Five,shanghai/befive.htm
133,Beian,北岸,shanghai/beian.htm
134,Beicao,北草,shanghai/beicao.htm
135,Beigao,被告,shanghai/beigao.htm
136,Belly Moutain/Duzishan,肚子山,shanghai/bellymountain.htm
137,B2,B2,shanghai/b2.htm
138,Berserker,Berserker,shanghai/berserker.htm
139,Bird On A Wire/Jinggong zhi niao,驚弓之鳥,shanghai/jinggongzhiniao.htm
140,biue,biue,shanghai/biue.htm
141,B.i.Z,B.i.Z,shanghai/biz.htm
142,Black Cherry,BLACK CHERRY,shanghai/blackcherry.htm
143,Black Gold,Black Gold,shanghai/blackgold.htm
144,Black Luna,BLACK LUNA,shanghai/blackluna.htm
145,Black mamba/Heimanba,黒曼巴,shanghai/blackmamba.htm
146,Black Song/Heiqu,擴音器,shanghai/kuoyinqi.htm
147,Blast,甜品店,shanghai/tianpindian.htm
148,Blindaze,BLINDAZE,shanghai/blindaze.htm
149,Blizzard,BLIZZARD,shanghai/blizzard.htm
150,Blood Horror/Xuejing,血驚,shanghai/xuejing.htm
151,Bloody Mary/Xuexingmali,VINCENT,shanghai/bloodymary.htm
152,Blue,BLUE,shanghai/blue.htm
153,"Blue
        Fantasy/Qingsehuanxiang",BLUE FANTASY/情色幻想,shanghai/bluefantasy.htm
154,"Blue Garden/Lanse
        huayuan",蘭色花園/藍色花園,shanghai/lansehuayuan.htm
155,"Blue hand and 12 Bars
        Band",藍手與十二小節,shanghai/lanshou.htm
156,Blue sea/Lanse zhi hai,藍色之海,shanghai/bluesea.htm
157,Blue Sky,BLUE SKY,shanghai/bluesky.htm
158,Blunt,BLUNT,shanghai/blunt.htm
159,Bohexiang,薄荷香,shanghai/bohexiang.htm
160,Boojii/Bojixiaosi,波激小絲,shanghai/boojii.htm
161,Boligang,璃玻鋼,shanghai/boligang.htm
162,Bolikou,璃玻扣,shanghai/bolikou.htm
163,Bonbon,Bonbon,shanghai/bonbon.htm
164,"Boys Climbing
        Ropes/Nanhaipashengzi",Boys Climbing Ropes/男孩爬繩子,shanghai/bcr.htm
165,Brave,BRAVE,shanghai/brave.htm
166,Break,BREAK,shanghai/break.htm
167,"Break the Seal/Sikai
        fengyinn",撕開封印,shanghai/sikaifengyin.htm
168,Bremen/Bulaimei,布莱梅,shanghai/bulaimei.htm
169,Brink,BRINK,shanghai/brink.htm
170,Broken Promises,Broken Promises,shanghai/brokenpromises.htm
171,Broken Wings,BROKEN WINGS,shanghai/brokenwings.htm
172,Brother6,BROTHER6,shanghai/brother6.htm
173,Brunch,BRUNCH,shanghai/brunch.htm
174,Brutel Meloody,BRUTEL MELODY,shanghai/brutelmelody.htm
175,"Buddha Told
        Me/Rushiwowen",如是我聞,shanghai/rushiwowen.htm
176,Bug,BUG,shanghai/bug.htm
177,Buguiyinmou,不軌音謀,shanghai/buguiyinmou.htm
178,Bund-Metal,BUND-METAL,shanghai/bundmetal.htm
179,Burning Ice/Ranbing,燃冰,shanghai/burningice.htm
180,Buru Dongwu,哺乳動物,shanghai/burudongwu.htm
181,Busimao,布思猫,shanghai/busimao.htm
182,Bustation/Shunshizhen,Bustation/順時針,shanghai/bustation.htm
183,But,BUT,shanghai/but.htm
184,Buxingtiantang,歩行天堂,shanghai/buxingtiantang.htm
185,Buyushenzhong,[女乃]牛,shanghai/buyushenzhong.htm
186,Caihongtang,彩虹糖,shanghai/caihongtang.htm
187,Caihuoche,猜火車,shanghai/caihuoche.htm
188,Caileyuan,菜樂園,shanghai/caileyuan.htm
189,Candy Bomb,CANDY BOMB,shanghai/candybomb.htm
190,Candy shot,CANDY SHOT,shanghai/candyshot.htm
191,Candy Wine,Candy Wine,shanghai/candywine.htm
192,Cannve,殘虐,shanghai/cannve.htm
193,Canyuanziteng,殘垣紫藤,shanghai/canyuan.htm
194,Caomeidangao,草莓蛋［米羔］,shanghai/caomeidangao.htm
195,CDGE,00700,shanghai/cdge.htm
196,Center-line/Zhongxinxian,中心綫,shanghai/centerline.htm
197,Chan,纏,shanghai/chan.htm
198,Chaojihuaxiangji,DEATHCORE,shanghai/deathcore.htm
199,Chaos Garden,CHAOS GARDEN,shanghai/chaosgarden.htm
200,Chaos Mind/Chaosimande,"[口少]死慢的/CHAOS
        MIND",shanghai/chaosmind.htm
201,Chi,赤,shanghai/chi.htm
202,CHIL,CHIL,shanghai/chil.htm
203,Chips,CHIPS,shanghai/chips.htm
204,Ci,磁,shanghai/ci.htm
205,Cider/Pingguojiu,CIDER/蘋果酒,shanghai/cider.htm
206,Cifu,磁浮,shanghai/cifu.htm
207,Circle,CIRCLE,shanghai/circle.htm
208,Citiz,CITIZ,shanghai/citiz.htm
209,City Eye,CITY EYE,shanghai/cityeye.htm
210,Clip/Tongxingzhen,同形針,shanghai/clip.htm
211,"Clockwork
        Orange/Fatiaocheng",發条橙,shanghai/fatiaocheng.htm
212,Cold-blooded D.N.A./Lengxuejiyin,冷血基因,shanghai/lengxuejiyin.htm
213,Cold Water/Lengshui,冷水,shanghai/lengshui.htm
214,Colouered Glaze/XCaise Geleisi,彩色格蕾絲,shanghai/coloueredglaze.htm
215,C,C,shanghai/comfortasofa.htm
216,Commandos,COMMANDOS,shanghai/commandos.htm
217,Cold Fairyland/Lengku Xianjing,冷酷仙境,shanghai/coldfairyland.htm
218,Conterspell/Fanzhi,Conterspell/反制,shanghai/conterspell.htm
219,CouPles,CouPles,shanghai/couples.htm
220,Courage,COURAGE,shanghai/courage.htm
221,COZ,COZ,shanghai/coz.htm
222,Crazystream,Crazystream,shanghai/crazystream.htm
223,Cross,CROSS,shanghai/cross.htm
224,Cross road,CROSS ROAD,shanghai/crossroad.htm
225,Cross roads/Shizilukou,十字路口,shanghai/shizilukou.htm
226,Crush,CRUSH,shanghai/crush.htm
227,Crux,CRUX,shanghai/crux.htm
228,Crying Litx,CRYING LITX,shanghai/cryinglitx.htm
229,"Crystal
        Butterfly/Shuijingdie",水晶蝶楽隊,shanghai/shuijingdie.htm
