,en_name,cn_name,link
73,Chujie,出界,https://www.yaogun.com/artist/tianjin/chujie.htm
74,Cike,刺客,https://www.yaogun.com/artist/tianjin/cike.htm
75,Cisheng,刺聲,https://www.yaogun.com/artist/tianjin/cisheng.htm
76,Color Strike,Color Strike,https://www.yaogun.com/artist/tianjin/colorstrike.htm
77,Coprolafnia,Coprolagnia,https://www.yaogun.com/artist/tianjin/coprolagnia.htm
78,CO2,CO2,https://www.yaogun.com/artist/tianjin/co2.htm
79,"Crazy Ants/Fengkuang de
        mayi",瘋狂的[虫馬]蟻,https://www.yaogun.com/artist/tianjin/fkdmy.htm
80,Crystal,CRYSTAL,https://www.yaogun.com/artist/tianjin/crystal.htm
81,Cuowei,錯位,https://www.yaogun.com/artist/tianjin/cuowei.htm
82,Cuntshredder,血宴,https://www.yaogun.com/artist/tianjin/cuntshredder.htm
83,"Dance Squad Masscare/
        Wudaotuandatusha",富態,https://www.yaogun.com/artist/tianjin/dsm.htm
84,Danxinglu,單行路,https://www.yaogun.com/artist/tianjin/danxinglu.htm
85,Dark Silence,DARK SILENCE,https://www.yaogun.com/artist/tianjin/darksilence.htm
86,Darkwhite/Shenbai,深白,https://www.yaogun.com/artist/tianjin/darkwhite.htm
87,Dead bunny,DEAD BUNNY,https://www.yaogun.com/artist/tianjin/deadbunny.htm
88,Dead rising,DEAD RISING,https://www.yaogun.com/artist/tianjin/deadrising.htm
89,Deng,等,https://www.yaogun.com/artist/tianjin/deng.htm
90,Dengluzhe,登陸者,https://www.yaogun.com/artist/tianjin/dengluzhe.htm
91,Dibaotian,地包天,https://www.yaogun.com/artist/tianjin/dibaotian.htm
92,Dipingxian,地平綫,https://www.yaogun.com/artist/tianjin/dipingxian.htm
93,Di3yiyuan,第三醫院,https://www.yaogun.com/artist/tianjin/di3yiyuan.htm
94,"Dismember Of
        Hell/Anyulushi",暗獄戮屍,https://www.yaogun.com/artist/tianjin/ayls.htm
95,Dixia nengli,地下能量,https://www.yaogun.com/artist/tianjin/dixianengliang.htm
96,Dixiawanou,地下玩偶,https://www.yaogun.com/artist/tianjin/dixiawanou.htm
97,Dixiayiceng,地下一層,https://www.yaogun.com/artist/tianjin/dixiayiceng.htm
98,Dolls,DOLLS,https://www.yaogun.com/artist/tianjin/dolls.htm
99,Dood,DOOD,https://www.yaogun.com/artist/tianjin/dood.htm
100,Doushouqi,闘獸棋,https://www.yaogun.com/artist/tianjin/doushouqi.htm
101,"Dragonfly Very
        Beautiful/Qingting feichangmei",蜻[虫廷]非常美,https://www.yaogun.com/artist/tianjin/dvb.htm
102,Dreamer,DREAMER,https://www.yaogun.com/artist/tianjin/dreamer.htm
103,Duanceng,斷層,https://www.yaogun.com/artist/tianjin/duanceng.htm
104,Ducao,毒草,https://www.yaogun.com/artist/tianjin/ducao.htm
105,Duandianwanou,斷電玩偶,https://www.yaogun.com/artist/tianjin/ddwo.htm
106,Duanxianwanou,斷綫玩偶,https://www.yaogun.com/artist/tianjin/duanxianwanou.htm
107,Duobianxing,多邊形,https://www.yaogun.com/artist/tianjin/duobianxing.htm
108,Eling,厄靈,https://www.yaogun.com/artist/tianjin/eling.htm
109,E-MAIL,E-MAIL,https://www.yaogun.com/artist/tianjin/email.htm
110,Emily,Emily,https://www.yaogun.com/artist/tianjin/emily.htm
111,Entamoeba Histolytica,/痢疾變形蟲,https://www.yaogun.com/artist/tianjin/entamoebahistolytica.htm
112,20088,20088,https://www.yaogun.com/artist/tianjin/20088.htm
113,25gu,25姑,https://www.yaogun.com/artist/tianjin/25gu.htm
114,Exist/Shengcun,生存,https://www.yaogun.com/artist/tianjin/shengcun.htm
115,Fang,放,https://www.yaogun.com/artist/tianjin/fang.htm
116,Fatiaokamusuo,發条ka目索,https://www.yaogun.com/artist/tianjin/fatiaokamusuo.htm
117,Fang'ai gongwu,妨碍公務,https://www.yaogun.com/artist/tianjin/fangaigongwu.htm
118,Fangzhibuou,彷制布偶,https://www.yaogun.com/artist/tianjin/fangzhibuou.htm
119,Feiluomeng,費洛蒙,https://www.yaogun.com/artist/tianjin/feiluomeng.htm
120,Fenghuoliancheng,風火連城,https://www.yaogun.com/artist/tianjin/fhlc.htm
121,Fire of dark,FIRE OF DARK,https://www.yaogun.com/artist/tianjin/fireofdark.htm
122,FlyingSky,FlyingSky,https://www.yaogun.com/artist/tianjin/flyingsky.htm
123,Fosha,佛sha,https://www.yaogun.com/artist/tianjin/fosha.htm
124,Fuchen,浮塵,https://www.yaogun.com/artist/tianjin/fuchen.htm
125,"Funky Corpse/Guguai
        shiti",古怪屍體,https://www.yaogun.com/artist/tianjin/funkycorpse.htm
126,Fusheng,浮生,https://www.yaogun.com/artist/tianjin/fusheng.htm
127,Ganghun,鋼筋混凝土,https://www.yaogun.com/artist/tianjin/ganghun.htm
128,Gas/Wasi,瓦斯,https://www.yaogun.com/artist/tianjin/wasi.htm
129,Gejue,隔絶,https://www.yaogun.com/artist/tianjin/gejue.htm
130,Geli,隔離,https://www.yaogun.com/artist/tianjin/geli.htm
131,Glass,GLASS,https://www.yaogun.com/artist/tianjin/glass.htm
132,God Of Thunder,GOD OF THUNDER,https://www.yaogun.com/artist/tianjin/godofthunder.htm
133,Gongchanertongtuan,共産兒童團,https://www.yaogun.com/artist/tianjin/gcett.htm
134,Grace Delay,GRACE DELAY,https://www.yaogun.com/artist/tianjin/gracedelay.htm
135,Green Mile,GREEN MILE,https://www.yaogun.com/artist/tianjin/greenmile.htm
136,GSK,GSK,https://www.yaogun.com/artist/tianjin/gsk.htm
137,Guanghezuoyong,光合作用,https://www.yaogun.com/artist/tianjin/ghzy.htm
138,Hanweizhe,捍衛者,https://www.yaogun.com/artist/tianjin/hanweizhe.htm
139,Hanwuji,寒武紀,https://www.yaogun.com/artist/tianjin/hanwuji.htm
140,Hao,好,https://www.yaogun.com/artist/tianjin/hao.htm
141,"Happy Bullets/Xingfu de
        zidan",幸福的子彈,https://www.yaogun.com/artist/tianjin/xingfudezidan.htm
142,H8,H8,https://www.yaogun.com/artist/tianjin/h8.htm
143,Heart Door,HEART DOOR,https://www.yaogun.com/artist/tianjin/heartdoor.htm
144,Heima,黒馬,https://www.yaogun.com/artist/tianjin/heima.htm
145,Heisequnbai,黒色裙擺,https://www.yaogun.com/artist/tianjin/heisequnbai.htm
146,Henji,痕迹,https://www.yaogun.com/artist/tianjin/henji.htm
147,Hetong,河童,https://www.yaogun.com/artist/tianjin/hetong.htm
148,Hot Rod,HOT ROD,https://www.yaogun.com/artist/tianjin/hotrod.htm
149,Hongsejiangguo,紅色漿果,https://www.yaogun.com/artist/tianjin/hsjg.htm
150,Huanhai,幻海,https://www.yaogun.com/artist/tianjin/huanhai.htm
151,Huanmie,幻滅,https://www.yaogun.com/artist/tianjin/huanmie.htm
152,Huazang,花葬,https://www.yaogun.com/artist/tianjin/huazang.htm
153,Huifei de huangyou,會飛的黄油,https://www.yaogun.com/artist/tianjin/hfdhy.htm
154,Huise Lingdang,灰色鈴鐺,https://www.yaogun.com/artist/tianjin/huiselingdang.htm
155,Hunheqingxu,混合情緒,https://www.yaogun.com/artist/tianjin/hunheqingxu.htm
156,Huochai,火柴,https://www.yaogun.com/artist/tianjin/huochai.htm
157,Huohua,火花,https://www.yaogun.com/artist/tianjin/huohua.htm
158,Hupo,琥珀,https://www.yaogun.com/artist/tianjin/hupo.htm
159,Jian,簡,https://www.yaogun.com/artist/tianjin/jian.htm
160,Jianbingqi,間冰期,https://www.yaogun.com/artist/tianjin/jianbingqi.htm
161,Jianfuyinfu,奸夫淫婦,https://www.yaogun.com/artist/tianjin/jianfuyinfu.htm
162,Jianguo,堅果,https://www.yaogun.com/artist/tianjin/jianguo.htm
163,Jiaoyuxiongdi,教育兄弟,https://www.yaogun.com/artist/tianjin/jiaoyuxiongdi.htm
164,+5,+5,https://www.yaogun.com/artist/tianjin/jia5.htm
165,Jiazhou,甲冑,https://www.yaogun.com/artist/tianjin/jiazhou.htm
166,Jiemojiemo,芥末芥末,https://www.yaogun.com/artist/tianjin/jiemojiemo.htm
167,Jiezhi,節制,https://www.yaogun.com/artist/tianjin/jiezhi.htm
168,Jing,靜,https://www.yaogun.com/artist/tianjin/jingyuetuan.htm
169,Jinghuayuan,鏡花縁,https://www.yaogun.com/artist/tianjin/jinghuayuan.htm
170,Jingyin,鏡音,https://www.yaogun.com/artist/tianjin/jingyin.htm
171,Jinianpin,紀念品,https://www.yaogun.com/artist/tianjin/jinianpin.htm
172,Jinri,禁日,https://www.yaogun.com/artist/tianjin/jinri.htm
173,Jinshuchibang,金屬翅膀,https://www.yaogun.com/artist/tianjin/jscb.htm
174,Jisu,極速,https://www.yaogun.com/artist/tianjin/jisu.htm
175,Jisuzhanche,急速戰車,https://www.yaogun.com/artist/tianjin/jisuzhanche.htm
176,Jiuer,九兒,https://www.yaogun.com/artist/tianjin/jiuer.htm
